id,name,address,neighborhood,latitude,longitude,type,status,iconic,carrie_connection,scene_description,episodes_featured,still_open,closed_notes,whats_there_now
LOC001,Carrie's Brownstone (Exterior),66 Perry Street,West Village,40.7355,-74.0024,Apartment,Open,TRUE,TRUE,Exterior stoop used for countless scenes throughout the series. Carrie types her column and has pivotal conversations here.,All seasons,TRUE,,Private residence - view from sidewalk only
LOC002,Magnolia Bakery,401 Bleecker Street,West Village,40.7324,-74.0035,Restaurant/Cafe,Open,TRUE,TRUE,Carrie and Miranda eat cupcakes and have heart-to-heart conversations.,"S3E5, S4E7, Multiple",TRUE,,Still operating - iconic cupcakes
LOC003,Loeb Boathouse Central Park,East 72nd Street & Park Drive North,Central Park,40.7756,-73.9706,Restaurant/Landmark,Closed,TRUE,TRUE,Carrie and Big have lunch and both fall into the lake.,S3 Finale,FALSE,Closed December 2022 due to rising costs,Space being redeveloped - Central Park Conservancy manages site
LOC004,Plaza Hotel,768 Fifth Avenue,Midtown,40.7645,-73.9744,Hotel,Open,TRUE,FALSE,Big's engagement party to Natasha. Also featured in SATC Movie for Carrie's wedding look.,S2E18 + SATC Movie,TRUE,,Luxury hotel still operating
LOC005,New York Public Library,476 Fifth Avenue,Midtown,40.7532,-73.9822,Landmark,Open,TRUE,TRUE,Planned venue for Carrie and Big's ill-fated wedding in the first movie.,SATC Movie,TRUE,,Still open - free to visit
LOC006,Brooklyn Bridge,Brooklyn Bridge,Lower Manhattan,40.7061,-73.9969,Landmark,Open,TRUE,FALSE,Miranda and Steve reconcile and decide to give their relationship another chance.,SATC Movie,TRUE,,Iconic landmark
LOC007,Jefferson Market Garden,Greenwich Avenue & W 10th Street,West Village,40.7344,-74.0002,Garden/Park,Open,TRUE,FALSE,Miranda and Steve's wedding location.,S4,TRUE,,Community garden still operating - popular wedding venue
LOC008,Columbus Circle Fountain,Columbus Circle,Upper West Side,40.7681,-73.9819,Landmark,Open,FALSE,TRUE,Carrie and Aidan's second breakup location.,S4,TRUE,,Still there
LOC009,Louis K Meisel Gallery,141 Prince Street,SoHo,40.7261,-74.0003,Gallery,Open,FALSE,FALSE,Charlotte's art gallery where she worked in early seasons.,S1-S4,TRUE,,Gallery still operating
LOC010,Yankee Stadium,1 East 161st Street,The Bronx,40.8296,-73.9262,Stadium,Open,FALSE,FALSE,Carrie attends a Yankees game to distract herself after Big.,S2E1,TRUE,,New stadium opened 2009 - original demolished
LOC011,Bryant Park,42nd Street & 6th Avenue,Midtown,40.7536,-73.9832,Park,Open,FALSE,FALSE,NYC Fashion Week tent recreated here for SATC Movie. Carrie and Big meet at 3am.,SATC Movie + Multiple,TRUE,,Park still open - Fashion Week now at various venues
LOC012,Buddakan,75 Ninth Avenue,Chelsea,40.7424,-74.0051,Restaurant,Open,TRUE,TRUE,Rehearsal dinner venue for Carrie and Big in the first movie.,SATC Movie,TRUE,,Still operating - popular destination for SATC fans
LOC013,Tiffany and Co Fifth Avenue,727 Fifth Avenue,Midtown,40.7627,-73.9727,Retail,Open,TRUE,FALSE,Charlotte's re-proposal from Trey outside Tiffany's. Blue Box Cafe inside.,S3,TRUE,,Flagship still open - Blue Box Cafe for breakfast
LOC014,Bergdorf Goodman,754 Fifth Avenue,Midtown,40.7643,-73.9731,Retail,Open,FALSE,FALSE,Girls shop here in SATC 2 opening sequence.,SATC 2,TRUE,,Still operating as luxury department store
LOC015,Barneys New York,660 Madison Avenue,Upper East Side,40.7643,-73.9703,Retail,Closed,FALSE,FALSE,Carrie and Charlotte shop here. Carrie buys shoes from a salesman played by Andy Cohen.,Multiple,FALSE,Closed 2020 after bankruptcy,Luxury residential and retail space
LOC016,Bloomingdales,1000 Third Avenue,Upper East Side,40.7621,-73.9674,Retail,Open,FALSE,FALSE,Carrie was working in the dress department here in 1989 when she met Miranda per SATC 2.,SATC 2,TRUE,,Still operating
LOC017,Manolo Blahnik,31 West 54th Street,Midtown,40.7614,-73.9773,Retail,Open,TRUE,TRUE,Carrie's ultimate shoe obsession. Mentioned and visited throughout the series.,Multiple,TRUE,,Boutique still operating
LOC018,Soho House New York,29-35 Ninth Avenue,Meatpacking District,40.7418,-74.0067,Club/Hotel,Open,FALSE,FALSE,Samantha tries to get into the pool in Season 6.,S6,TRUE,,Members club still operating
LOC019,The Carlyle Hotel - Bemelmans Bar,35 East 76th Street,Upper East Side,40.7736,-73.9635,Hotel/Bar,Open,FALSE,FALSE,Carrie and Louise from St Louis drink here in SATC Movie.,SATC Movie,TRUE,,Art deco bar still operating with famous murals
LOC020,ONieal's Bar (Scout Bar),174 Grand Street,SoHo,40.7194,-74.0031,Bar,Open,FALSE,FALSE,Filming location for Scout bar owned by Steve and Aidan in the series.,Multiple,TRUE,,Bar still welcomes SATC fans
LOC021,Cafe Lalo,201 West 83rd Street,Upper West Side,40.7847,-73.9800,Cafe,Open,FALSE,FALSE,Featured in the series as a neighborhood cafe the girls frequent.,Multiple,TRUE,,Still operating - also famous from You've Got Mail
LOC022,Pastis,52 Gansevoort Street,Meatpacking District,40.7408,-74.0072,Restaurant,Open,FALSE,FALSE,Girls brunch here. Samantha complains neighborhood is too cleaned up. Miranda complains burger costs $20.,Multiple,TRUE,Closed 2014 - reopened 2019 at new location,Reopened at 52 Gansevoort Street
LOC023,The Modern at MoMA,9 West 53rd Street,Midtown,40.7614,-73.9776,Restaurant,Open,FALSE,FALSE,Charlotte announces Carrie's engagement to appreciative diners.,SATC Movie,TRUE,,Still operating inside MoMA
LOC024,Russian Tea Room,150 West 57th Street,Midtown,40.7651,-73.9796,Restaurant,Open,FALSE,FALSE,Carrie and Alexandr Petrovsky's first date.,S6,TRUE,,Still operating
LOC025,Eleven Madison Park,11 Madison Avenue,Flatiron,40.7416,-73.9872,Restaurant,Open,FALSE,FALSE,Big revealed his engagement at this restaurant.,S2,TRUE,,Now plant-based menu - World's 50 Best regular
LOC026,Good World Bar and Grill,3 Orchard Street,Lower East Side,40.7157,-73.9918,Bar/Restaurant,Closed,FALSE,FALSE,Miranda and Steve have cross words in SATC Movie. Swedish-themed bar in old barbershop.,SATC Movie,FALSE,Closed,Space has changed - Chinatown/LES area
LOC027,Diane Von Furstenberg Store,440 West 14th Street,Meatpacking District,40.7408,-74.0072,Retail,Open,FALSE,FALSE,Carrie phones Samantha from here in SATC Movie. Final cocktail scene interior filmed here.,SATC Movie,TRUE,,DVF flagship still operating
LOC028,Chateau Steak (formerly Florent),69 Gansevoort Street,Meatpacking District,40.7401,-74.0076,Restaurant,Closed,FALSE,FALSE,Classic Meatpacking District diner featured in early seasons.,S1-S2,FALSE,Original Florent closed 2008,Area is now high-end retail and restaurants
LOC029,Central Park - The Carousel,Mid-Park at 64th Street,Central Park,40.7679,-73.9736,Landmark/Park,Open,FALSE,FALSE,Charlotte and Harry take Lily to the carousel in SATC Movie.,SATC Movie,TRUE,,Still operating seasonally
LOC030,Hernshead Ladies Pavilion Central Park,West 75th Street at Central Park Lake,Central Park,40.7778,-73.9762,Landmark/Park,Open,FALSE,FALSE,Miranda seeks forgiveness from Carrie with Central Park Lake views framed by cast-iron arches.,SATC Movie,TRUE,,Cast iron pavilion from 1871 still standing
LOC031,Samantha's Apartment Exterior,300 Gansevoort Street,Meatpacking District,40.7401,-74.0069,Apartment,Open,FALSE,FALSE,Samantha's apartment in the Meatpacking District - she was proud to live there before it was cool.,S3-S6,TRUE,,Area now premium real estate
LOC032,Charlotte's Apartment Building,930 Park Avenue,Upper East Side,40.7758,-73.9592,Apartment,Open,FALSE,FALSE,Charlotte and Trey's Park Avenue apartment. Elizabeth Taylor moment in S6.,S3-S6,TRUE,,Private residential building
LOC033,High Line Park,Gansevoort Street to 34th Street,Meatpacking/Chelsea,40.7480,-74.0048,Park,Open,FALSE,FALSE,Not in original series but features in AJLT as neighborhood anchor.,AJLT,TRUE,,Opened 2009 - now iconic NYC attraction
LOC034,The Monkey Bar,60 East 54th Street,Midtown,40.7589,-73.9749,Bar/Restaurant,Open,FALSE,FALSE,Featured in AJLT as a location Carrie frequents.,AJLT,TRUE,,Hotel Elysee bar still operating with colorful murals
LOC035,The East Pole,133 East 65th Street,Upper East Side,40.7657,-73.9641,Restaurant,Open,FALSE,FALSE,Upper East Side neighborhood favorite featured in AJLT.,AJLT,TRUE,,Farm-to-table restaurant still operating
LOC036,Webster Hall,125 East 11th Street,East Village,40.7310,-73.9883,Nightclub,Open,FALSE,FALSE,East Village venue featured in early seasons party scenes.,S1-S3,TRUE,,Still operating as music venue since 1953
